roll_frame_series,frame,media,photo_date,photo_time,scale,focal_length_mm,operation_tag,bcgs_mapsheet,nts_mapsheet,georeferenced,thumbnail_image,geometry
bc5281,91,Film - BW,1968-05-09,12:30:00,1:31680,153,B-012-AF-68,093l03041,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5281/bc5281_091_thumb.jpg,"c(-126.0543, 54.25345)"
bc5281,97,Film - BW,1968-05-09,12:30:00,1:31680,153,B-012-AF-68,093l05021,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5281/bc5281_097_thumb.jpg,"c(-126.0581, 54.4025)"
bc5282,209,Film - BW,1968-05-10,10:21:00,1:12000,153,B-022-WR-68,093l04843,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5282/bc5282_209_thumb.jpg,"c(-126.4971, 54.49597)"
bc5282,219,Film - BW,1968-05-10,10:28:00,1:12000,153,B-022-WR-68,093l04843,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5282/bc5282_219_thumb.jpg,"c(-126.4618, 54.4885)"
bc5282,220,Film - BW,1968-05-10,10:28:00,1:12000,153,B-022-WR-68,093l04843,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5282/bc5282_220_thumb.jpg,"c(-126.4748, 54.48242)"
bc5282,221,Film - BW,1968-05-10,10:28:00,1:12000,153,B-022-WR-68,093l04843,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5282/bc5282_221_thumb.jpg,"c(-126.4879, 54.47635)"
bc5283,38,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04943,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_038_thumb.jpg,"c(-126.2893, 54.49375)"
bc5283,39,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04943,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_039_thumb.jpg,"c(-126.28, 54.48599)"
bc5283,40,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04943,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_040_thumb.jpg,"c(-126.2706, 54.47824)"
bc5283,41,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04941,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_041_thumb.jpg,"c(-126.2613, 54.47049)"
bc5283,42,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04941,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_042_thumb.jpg,"c(-126.2519, 54.46274)"
bc5283,43,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04942,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_043_thumb.jpg,"c(-126.2425, 54.45499)"
bc5283,44,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04924,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_044_thumb.jpg,"c(-126.2332, 54.44723)"
bc5283,45,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04924,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_045_thumb.jpg,"c(-126.2238, 54.43948)"
bc5283,46,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04924,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_046_thumb.jpg,"c(-126.2145, 54.43173)"
bc5283,47,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04922,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_047_thumb.jpg,"c(-126.2056, 54.42443)"
bc5283,48,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l05011,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_048_thumb.jpg,"c(-126.1968, 54.41712)"
bc5283,49,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l05011,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_049_thumb.jpg,"c(-126.188, 54.40982)"
bc5283,50,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l05011,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_050_thumb.jpg,"c(-126.1792, 54.40252)"
bc5283,51,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04033,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_051_thumb.jpg,"c(-126.1703, 54.39522)"
bc5283,52,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04033,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_052_thumb.jpg,"c(-126.1615, 54.38791)"
bc5283,53,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04033,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_053_thumb.jpg,"c(-126.1527, 54.38061)"
bc5283,54,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04032,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_054_thumb.jpg,"c(-126.1439, 54.37331)"
bc5283,55,Film - BW,1968-05-10,10:57:00,1:12000,153,B-022-WR-68,093l04032,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_055_thumb.jpg,"c(-126.135, 54.366)"
bc5283,58,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l04032,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_058_thumb.jpg,"c(-126.1026, 54.37398)"
bc5283,59,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l04034,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_059_thumb.jpg,"c(-126.1118, 54.38132)"
bc5283,60,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l04034,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_060_thumb.jpg,"c(-126.1211, 54.38866)"
bc5283,61,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l04034,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_061_thumb.jpg,"c(-126.1303, 54.39599)"
bc5283,67,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l05013,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_067_thumb.jpg,"c(-126.1858, 54.44002)"
bc5283,68,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l05013,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_068_thumb.jpg,"c(-126.1935, 54.44676)"
bc5283,69,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l04942,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_069_thumb.jpg,"c(-126.2012, 54.4535)"
bc5283,71,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l04942,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_071_thumb.jpg,"c(-126.2167, 54.46699)"
bc5283,72,Film - BW,1968-05-10,11:04:00,1:12000,153,B-022-WR-68,093l04942,093L08,No,https://openmaps.gov.bc.ca/thumbs/1968/bc5283/bc5283_072_thumb.jpg,"c(-126.2244, 54.47373)"
