id,airp_id,flying_height,photo_year,photo_date,photo_time,latitude,longitude,film_roll,frame_number,georef_metadata_ind,published_ind,media,photo_tag,bcgs_tile,nts_tile,scale,ground_sample_distance,operation_tag,focal_length,thumbnail_image_url,flight_log_url,camera_calibration_url,patb_georef_url,flight_line_segment_id,operation_id,film_record_id,objectid,se_anno_cad_data,area_ha,localcode_ltree,refine_method,wscode_ltree,geometry
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265167,1265167,7315,1975,1975-07-05,12:40:00,54.43797,-126.5654,bc7727,88,N,Y,Film - BW,bc7727_088,093l04813,093L07,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7727/bc7727_088_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7727_7728_1.jpg,,,77563,1389,14969,19478837,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.5654, 54.43797)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265168,1265168,7315,1975,1975-07-05,12:40:00,54.43808,-126.5962,bc7727,89,N,Y,Film - BW,bc7727_089,093l04813,093L07,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7727/bc7727_089_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7727_7728_1.jpg,,,77563,1389,14969,19478838,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.5962, 54.43808)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265318,1265318,7315,1975,1975-07-05,12:40:00,54.4672,-126.5188,bc7728,79,N,Y,Film - BW,bc7728_079,093l04832,093L07,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7728/bc7728_079_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7727_7728_1.jpg,,,77564,1389,14972,19478988,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.5188, 54.4672)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265319,1265319,7315,1975,1975-07-05,12:40:00,54.46719,-126.4937,bc7728,80,N,Y,Film - BW,bc7728_080,093l04841,093L08,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7728/bc7728_080_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7727_7728_1.jpg,,,77564,1389,14972,19478989,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.4937, 54.46719)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265343,1265343,7315,1975,1975-07-05,12:40:00,54.49571,-126.2767,bc7728,104,N,Y,Film - BW,bc7728_104,093l04943,093L08,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7728/bc7728_104_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7727_7728_1.jpg,,,77565,1389,14972,19479013,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.2767, 54.49571)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265344,1265344,7315,1975,1975-07-05,12:40:00,54.49574,-126.3036,bc7728,105,N,Y,Film - BW,bc7728_105,093l04934,093L08,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7728/bc7728_105_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7727_7728_1.jpg,,,77565,1389,14972,19479014,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.3036, 54.49574)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265351,1265351,7315,1975,1975-07-05,12:40:00,54.49571,-126.491,bc7728,112,N,Y,Film - BW,bc7728_112,093l04843,093L08,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7728/bc7728_112_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7727_7728_1.jpg,,,77565,1389,14972,19479021,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.491, 54.49571)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265493,1265493,7315,1975,1975-07-05,03:45:00,54.52463,-126.4592,bc7735,77,N,Y,Film - BW,bc7735_077,093l05821,093L09,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7735/bc7735_077_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7735_7736_1.jpg,,,77566,1389,14993,19479163,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.4592, 54.52463)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265495,1265495,7315,1975,1975-07-05,03:45:00,54.52466,-126.4038,bc7735,79,N,Y,Film - BW,bc7735_079,093l05822,093L09,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7735/bc7735_079_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7735_7736_1.jpg,,,77566,1389,14993,19479165,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.4038, 54.52466)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.1265497,1265497,7315,1975,1975-07-05,03:45:00,54.52466,-126.3484,bc7735,81,N,Y,Film - BW,bc7735_081,093l05912,093L09,1:20000,,B-009-FI-75,305,https://openmaps.gov.bc.ca/thumbs/1975/bc7735/bc7735_081_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1975/roll_pages/bc7735_7736_1.jpg,,,77566,1389,14993,19479167,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.3484, 54.52466)"
